epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.7610800266265869,0.8882911801338196,0.001,0.8525999784469604,0.4149557650089264
1,0.825469970703125,0.6985612511634827,0.001,0.838699996471405,0.4421609342098236
2,0.8342800140380859,0.6568171381950378,0.001,0.8830000162124634,0.31187352538108826
3,0.8450999855995178,0.6144232153892517,0.001,0.8726999759674072,0.3514540493488312
4,0.8522899746894836,0.5882787704467773,0.001,0.8949999809265137,0.28743642568588257
5,0.858460009098053,0.5684411525726318,0.001,0.8948000073432922,0.29786399006843567
6,0.8646399974822998,0.5442569851875305,0.001,0.8996999859809875,0.2913157641887665
7,0.8679400086402893,0.5368514657020569,0.001,0.9052000045776367,0.2720879912376404
8,0.8743699789047241,0.5110893249511719,0.001,0.9083999991416931,0.27045631408691406
9,0.8800299763679504,0.5002050995826721,0.001,0.8932999968528748,0.3236706256866455
10,0.8694199919700623,0.5339933037757874,0.001,0.8589000105857849,0.4298717677593231
