epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.7763599753379822,0.6470343470573425,0.001,0.6747000217437744,0.9912288784980774
1,0.8624200224876404,0.39550676941871643,0.001,0.7387999892234802,0.9496923089027405
2,0.8812000155448914,0.3431532084941864,0.001,0.8414999842643738,0.4394490122795105
3,0.8908399939537048,0.3090241551399231,0.001,0.852400004863739,0.4613732397556305
4,0.9018999934196472,0.28061291575431824,0.001,0.8673999905586243,0.41376644372940063
5,0.9060199856758118,0.2688380777835846,0.001,0.8946999907493591,0.30872729420661926
6,0.9093400239944458,0.2557694613933563,0.001,0.8755000233650208,0.37734681367874146
7,0.9153599739074707,0.24212871491909027,0.001,0.8855000138282776,0.3194192051887512
8,0.9148200154304504,0.24151983857154846,0.001,0.8982999920845032,0.2969270646572113
9,0.9246600270271301,0.2135484367609024,0.001,0.8919000029563904,0.3578517436981201
10,0.9270399808883667,0.20418128371238708,0.001,0.8935999870300293,0.30946728587150574
